Accession,SRA_Accession,Authors,Release_Date,Isolate,Species,Genus,Family,Molecule_type,Length,Sequence_Type,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,Country,USA,Host,Isolation_Source,Collection_Date,BioSample,GenBank_Title
MT064035,,,2022-05-29T00:00:00Z,PREDICT_CMAB75051,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),286,GenBank,partial,,,,Cameroon,Cameroon,,Hipposideros ruber,feces,2018/5/31,,"Human coronavirus 229E clone 4783 RNA-dependent RNA polymerase gene, partial cds"
MT064047,,,2022-05-29T00:00:00Z,PREDICT_CMAB73376,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),286,GenBank,partial,,,,Cameroon,Cameroon,,Hipposideros ruber,oronasopharynx,2017/4/12,,"Human coronavirus 229E clone 6301 RNA-dependent RNA polymerase gene, partial cds"
MT064050,,,2022-05-29T00:00:00Z,PREDICT_RWAH0038,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),286,GenBank,partial,,,,Rwanda,Rwanda,,Homo sapiens,oronasopharynx,2017/2/2,,"Human coronavirus 229E clone 7093 RNA-dependent RNA polymerase gene, partial cds"
MT064059,,,2022-05-29T00:00:00Z,PREDICT_SNAB0055,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),286,GenBank,partial,,,,Senegal,Senegal,,Pipistrellus inexspectatus,feces,2018/3/20,,"Human coronavirus 229E clone 8451 RNA-dependent RNA polymerase gene, partial cds"
MT064733,,,2022-05-29T00:00:00Z,PREDICT_BDAH0283,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),286,GenBank,partial,,,,Bangladesh,Bangladesh,,Homo sapiens,feces,2018/2/9,,"Human coronavirus 229E clone 5328 RNA-dependent RNA polymerase gene, partial cds"
MT064773,,,2022-05-29T00:00:00Z,PREDICT_INAH0004,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),286,GenBank,partial,,,,India,India,,Homo sapiens,oronasopharynx,2017/10/10,,"Human coronavirus 229E clone 6606 RNA-dependent RNA polymerase gene, partial cds"
MT064823,,,2022-05-29T00:00:00Z,PREDICT_INAH0003,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),286,GenBank,partial,,,,India,India,,Homo sapiens,oronasopharynx,2017/10/10,,"Human coronavirus 229E clone 9557 RNA-dependent RNA polymerase gene, partial cds"
MT064824,,,2022-05-29T00:00:00Z,PREDICT_INAH0006,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),286,GenBank,partial,,,,India,India,,Homo sapiens,oronasopharynx,2017/10/10,,"Human coronavirus 229E clone 9558 RNA-dependent RNA polymerase gene, partial cds"
MT064825,,,2022-05-29T00:00:00Z,PREDICT_INAH0014,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),286,GenBank,partial,,,,India,India,,Homo sapiens,oronasopharynx,2017/10/11,,"Human coronavirus 229E clone 9573 RNA-dependent RNA polymerase gene, partial cds"
MT064826,,,2022-05-29T00:00:00Z,PREDICT_INAH0015,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),286,GenBank,partial,,,,India,India,,Homo sapiens,oronasopharynx,2017/10/11,,"Human coronavirus 229E clone 9574 RNA-dependent RNA polymerase gene, partial cds"
MT064829,,,2022-05-29T00:00:00Z,PREDICT_INAH0029,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),286,GenBank,partial,,,,India,India,,Homo sapiens,oronasopharynx,2017/10/12,,"Human coronavirus 229E clone 6614 RNA-dependent RNA polymerase gene, partial cds"
MT081983,,,2022-05-29T00:00:00Z,PREDICT_CMAB71818,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),387,GenBank,partial,,,,Cameroon,Cameroon,,Hipposideros ruber,feces,2016/7/31,,"Human coronavirus 229E clone 1540 RNA-dependent RNA polymerase gene, partial cds"
MT081987,,,2022-05-29T00:00:00Z,PREDICT_CMAB71480,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),387,GenBank,partial,,,,Cameroon,Cameroon,,Hipposideros ruber,feces,2016/5/26,,"Human coronavirus 229E clone 1544 RNA-dependent RNA polymerase gene, partial cds"
MT081988,,,2022-05-29T00:00:00Z,PREDICT_CMAB71642,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),387,GenBank,partial,,,,Cameroon,Cameroon,,Hipposideros ruber,feces,2016/7/4,,"Human coronavirus 229E clone 1545 RNA-dependent RNA polymerase gene, partial cds"
MT081989,,,2022-05-29T00:00:00Z,PREDICT_RWAB0002,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),387,GenBank,partial,,,,Rwanda,Rwanda,,Hipposideros caffer,feces,2015/12/21,,"Human coronavirus 229E clone 1546 RNA-dependent RNA polymerase gene, partial cds"
MT081990,,,2022-05-29T00:00:00Z,PREDICT_RWAB0004,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),387,GenBank,partial,,,,Rwanda,Rwanda,,Lissonycteris angolensis,feces,2015/12/21,,"Human coronavirus 229E clone 1548 RNA-dependent RNA polymerase gene, partial cds"
MT081991,,,2022-05-29T00:00:00Z,PREDICT_CMAB71651,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),387,GenBank,partial,,,,Cameroon,Cameroon,,Hipposideros ruber,feces,2016/7/4,,"Human coronavirus 229E clone 1772 RNA-dependent RNA polymerase gene, partial cds"
MT081993,,,2022-05-29T00:00:00Z,PREDICT_CMAB72015,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),387,GenBank,partial,,,,Cameroon,Cameroon,,Hipposideros ruber,feces,2016/9/14,,"Human coronavirus 229E clone 1774 RNA-dependent RNA polymerase gene, partial cds"
MT081994,,,2022-05-29T00:00:00Z,PREDICT_CMAB72009,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),387,GenBank,partial,,,,Cameroon,Cameroon,,Hipposideros ruber,feces,2016/9/14,,"Human coronavirus 229E clone 1775 RNA-dependent RNA polymerase gene, partial cds"
MT081996,,,2022-05-29T00:00:00Z,PREDICT_CMAB72047,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),387,GenBank,partial,,,,Cameroon,Cameroon,,Hipposideros ruber,feces,2016/9/16,,"Human coronavirus 229E clone 1782 RNA-dependent RNA polymerase gene, partial cds"
MT082006,,,2022-05-29T00:00:00Z,PREDICT_CMAB73364,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),387,GenBank,partial,,,,Cameroon,Cameroon,,Hipposideros ruber,feces,2017/4/12,,"Human coronavirus 229E clone 2477 RNA-dependent RNA polymerase gene, partial cds"
MT082008,,,2022-05-29T00:00:00Z,PREDICT_CMAB73368,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),387,GenBank,partial,,,,Cameroon,Cameroon,,Hipposideros ruber,feces,2017/4/12,,"Human coronavirus 229E clone 2482 RNA-dependent RNA polymerase gene, partial cds"
MT082009,,,2022-05-29T00:00:00Z,PREDICT_CMAB73376,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),387,GenBank,partial,,,,Cameroon,Cameroon,,Hipposideros ruber,feces,2017/4/12,,"Human coronavirus 229E clone 2483 RNA-dependent RNA polymerase gene, partial cds"
MT082010,,,2022-05-29T00:00:00Z,PREDICT_CMAB73372,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),387,GenBank,partial,,,,Cameroon,Cameroon,,Hipposideros ruber,feces,2017/4/12,,"Human coronavirus 229E clone 2484 RNA-dependent RNA polymerase gene, partial cds"
MT082012,,,2022-05-29T00:00:00Z,PREDICT_CMAB72010,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),387,GenBank,partial,,,,Cameroon,Cameroon,,Hipposideros ruber,feces,2016/9/14,,"Human coronavirus 229E clone 2677 RNA-dependent RNA polymerase gene, partial cds"
MT082016,,,2022-05-29T00:00:00Z,PREDICT_CMAB72143,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),387,GenBank,partial,,,,Cameroon,Cameroon,,Hipposideros ruber,feces,2016/10/31,,"Human coronavirus 229E clone 2681 RNA-dependent RNA polymerase gene, partial cds"
MT082018,,,2022-05-29T00:00:00Z,PREDICT_CMAB72642,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),387,GenBank,partial,,,,Cameroon,Cameroon,,Hipposideros ruber,feces,2017/2/19,,"Human coronavirus 229E clone 2683 RNA-dependent RNA polymerase gene, partial cds"
MT082019,,,2022-05-29T00:00:00Z,PREDICT_CMAB71678,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),387,GenBank,partial,,,,Cameroon,Cameroon,,Hipposideros ruber,feces,2016/7/5,,"Human coronavirus 229E clone 2757 RNA-dependent RNA polymerase gene, partial cds"
MT082020,,,2022-05-29T00:00:00Z,PREDICT_CMAB71786,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),387,GenBank,partial,,,,Cameroon,Cameroon,,Hipposideros ruber,feces,2016/7/30,,"Human coronavirus 229E clone 2758 RNA-dependent RNA polymerase gene, partial cds"
MT082021,,,2022-05-29T00:00:00Z,PREDICT_CMAB71800,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),387,GenBank,partial,,,,Cameroon,Cameroon,,Hipposideros ruber,feces,2016/7/30,,"Human coronavirus 229E clone 2759 RNA-dependent RNA polymerase gene, partial cds"
MT082023,,,2022-05-29T00:00:00Z,PREDICT_CMAB71481,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),387,GenBank,partial,,,,Cameroon,Cameroon,,Hipposideros ruber,feces,2016/5/26,,"Human coronavirus 229E clone 2763 RNA-dependent RNA polymerase gene, partial cds"
MT082026,,,2022-05-29T00:00:00Z,PREDICT_CMAB72694,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),387,GenBank,partial,,,,Cameroon,Cameroon,,Hipposideros ruber,feces,2017/2/22,,"Human coronavirus 229E clone 2813 RNA-dependent RNA polymerase gene, partial cds"
MT082029,,,2022-05-29T00:00:00Z,PREDICT_CMAB73367,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),387,GenBank,partial,,,,Cameroon,Cameroon,,Hipposideros ruber,oronasopharynx,2017/4/12,,"Human coronavirus 229E clone 2828 RNA-dependent RNA polymerase gene, partial cds"
MT082030,,,2022-05-29T00:00:00Z,PREDICT_CMAB72057,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),387,GenBank,partial,,,,Cameroon,Cameroon,,Hipposideros ruber,oronasopharynx,2016/9/16,,"Human coronavirus 229E clone 2909 RNA-dependent RNA polymerase gene, partial cds"
MT082031,,,2022-05-29T00:00:00Z,PREDICT_CMAB73356,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),387,GenBank,partial,,,,Cameroon,Cameroon,,Hipposideros ruber,feces,2017/4/11,,"Human coronavirus 229E clone 2910 RNA-dependent RNA polymerase gene, partial cds"
MT082053,,,2022-05-29T00:00:00Z,PREDICT_CMAB72622,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),387,GenBank,partial,,,,Cameroon,Cameroon,,Hipposideros ruber,feces,2017/2/18,,"Human coronavirus 229E clone 3218 RNA-dependent RNA polymerase gene, partial cds"
MT082055,,,2022-05-29T00:00:00Z,PREDICT_CMAB73355,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),387,GenBank,partial,,,,Cameroon,Cameroon,,Hipposideros ruber,feces,2017/4/11,,"Human coronavirus 229E clone 3220 RNA-dependent RNA polymerase gene, partial cds"
MT082056,,,2022-05-29T00:00:00Z,PREDICT_CMAB73357,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),387,GenBank,partial,,,,Cameroon,Cameroon,,Hipposideros ruber,feces,2017/4/11,,"Human coronavirus 229E clone 3221 RNA-dependent RNA polymerase gene, partial cds"
MT082057,,,2022-05-29T00:00:00Z,PREDICT_CMAB73354,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),387,GenBank,partial,,,,Cameroon,Cameroon,,Hipposideros ruber,oronasopharynx,2017/4/11,,"Human coronavirus 229E clone 3222 RNA-dependent RNA polymerase gene, partial cds"
MT082058,,,2022-05-29T00:00:00Z,PREDICT_CMAB71675,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),387,GenBank,partial,,,,Cameroon,Cameroon,,Hipposideros ruber,feces,2016/7/5,,"Human coronavirus 229E clone 3605 RNA-dependent RNA polymerase gene, partial cds"
MT082078,,,2022-05-29T00:00:00Z,PREDICT_CMAB74760,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),387,GenBank,partial,,,,Cameroon,Cameroon,,Hipposideros ruber,feces,2018/1/20,,"Human coronavirus 229E clone 4621 RNA-dependent RNA polymerase gene, partial cds"
MT082081,,,2022-05-29T00:00:00Z,PREDICT_CMAB75019,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),387,GenBank,partial,,,,Cameroon,Cameroon,,Hipposideros ruber,feces,2018/5/30,,"Human coronavirus 229E clone 4745 RNA-dependent RNA polymerase gene, partial cds"
MT082084,,,2022-05-29T00:00:00Z,PREDICT_CMAB74746,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),387,GenBank,partial,,,,Cameroon,Cameroon,,Hipposideros ruber,feces,2018/1/19,,"Human coronavirus 229E clone 4751 RNA-dependent RNA polymerase gene, partial cds"
MT082090,,,2022-05-29T00:00:00Z,PREDICT_CMAB75005,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),387,GenBank,partial,,,,Cameroon,Cameroon,,Hipposideros curtus,feces,2018/5/30,,"Human coronavirus 229E clone 4758 RNA-dependent RNA polymerase gene, partial cds"
MT082091,,,2022-05-29T00:00:00Z,PREDICT_CMAB75013,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),387,GenBank,partial,,,,Cameroon,Cameroon,,Hipposideros ruber,oronasopharynx,2018/5/30,,"Human coronavirus 229E clone 4759 RNA-dependent RNA polymerase gene, partial cds"
MT082092,,,2022-05-29T00:00:00Z,PREDICT_CMAB75013,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),387,GenBank,partial,,,,Cameroon,Cameroon,,Hipposideros ruber,feces,2018/5/30,,"Human coronavirus 229E clone 4760 RNA-dependent RNA polymerase gene, partial cds"
MT082093,,,2022-05-29T00:00:00Z,PREDICT_CMAB75014,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),387,GenBank,partial,,,,Cameroon,Cameroon,,Hipposideros ruber,feces,2018/5/30,,"Human coronavirus 229E clone 4761 RNA-dependent RNA polymerase gene, partial cds"
MT082137,,,2022-05-29T00:00:00Z,PREDICT_RWAH0038,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),387,GenBank,partial,,,,Rwanda,Rwanda,,Homo sapiens,oronasopharynx,2017/2/2,,"Human coronavirus 229E clone 7094 RNA-dependent RNA polymerase gene, partial cds"
MT082138,,,2022-05-29T00:00:00Z,PREDICT_RWAH0204,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),387,GenBank,partial,,,,Rwanda,Rwanda,,Homo sapiens,oronasopharynx,2017/1/3,,"Human coronavirus 229E clone 7095 RNA-dependent RNA polymerase gene, partial cds"
MT082139,,,2022-05-29T00:00:00Z,PREDICT_RWAH0242,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),387,GenBank,partial,,,,Rwanda,Rwanda,,Homo sapiens,oronasopharynx,2017/1/12,,"Human coronavirus 229E clone 7096 RNA-dependent RNA polymerase gene, partial cds"
MT082142,,,2022-05-29T00:00:00Z,PREDICT_RWAH0301,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),387,GenBank,partial,,,,Rwanda,Rwanda,,Homo sapiens,oronasopharynx,2017/1/16,,"Human coronavirus 229E clone 7099 RNA-dependent RNA polymerase gene, partial cds"
MT082143,,,2022-05-29T00:00:00Z,PREDICT_RWAH0318,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),387,GenBank,partial,,,,Rwanda,Rwanda,,Homo sapiens,oronasopharynx,2017/1/19,,"Human coronavirus 229E clone 7100 RNA-dependent RNA polymerase gene, partial cds"
MT082144,,,2022-05-29T00:00:00Z,PREDICT_RWAH0323,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),393,GenBank,partial,,,,Rwanda,Rwanda,,Homo sapiens,oronasopharynx,2017/1/20,,"Human coronavirus 229E clone 7101 RNA-dependent RNA polymerase gene, partial cds"
MT082161,,,2022-05-29T00:00:00Z,PREDICT_UGAB0173,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),387,GenBank,partial,,,,Uganda,Uganda,,Hipposideros,feces,2017/5/23,,"Human coronavirus 229E clone 8040 RNA-dependent RNA polymerase gene, partial cds"
MT082206,,,2022-05-29T00:00:00Z,PREDICT_GHBH359267,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),387,GenBank,partial,,,,Ghana,Ghana,,Homo sapiens,oronasopharynx,2018/6/13,,"Human coronavirus 229E clone 8897 RNA-dependent RNA polymerase gene, partial cds"
MT083330,,,2022-05-29T00:00:00Z,PREDICT_BDAH0283,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),387,GenBank,partial,,,,Bangladesh,Bangladesh,,Homo sapiens,oronasopharynx,2018/2/9,,"Human coronavirus 229E clone 5327 RNA-dependent RNA polymerase gene, partial cds"
MT083331,,,2022-05-29T00:00:00Z,PREDICT_BDAH0283,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),387,GenBank,partial,,,,Bangladesh,Bangladesh,,Homo sapiens,feces,2018/2/9,,"Human coronavirus 229E clone 5329 RNA-dependent RNA polymerase gene, partial cds"
MT083332,,,2022-05-29T00:00:00Z,PREDICT_BDAH0319,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,ssRNA(+),387,GenBank,partial,,,,Bangladesh,Bangladesh,,Homo sapiens,oronasopharynx,2018/2/11,,"Human coronavirus 229E clone 5331 RNA-dependent RNA polymerase gene, partial cds"
